text,label,category
Marathon runner achieves personal best time,0,Sports
Rivalry match ends in dramatic finish,0,Sports
Fans return to stadiums as restrictions ease,0,Sports
Just in: Coach announces retirement after successful season,0,Sports
Team celebrates victory in season finale,0,Sports
Athletes prepare for upcoming championship event,0,Sports
Analysts say Player wins award for outstanding performance,0,Sports
New report: Underdog team upsets favorite in playoff match,0,Sports
Today's headlines: Marathon runner achieves personal best time,0,Sports
Coach announces retirement after successful season,0,Sports
Update: Player sets new record in championship game,0,Sports
International tournament draws record viewership,0,Sports
Sports league announces rule changes for next season,0,Sports
Today's headlines: New stadium construction announced for local team,0,Sports
Just in: Team signs rookie player to long-term contract,0,Sports
Athlete overcomes injury to return to competition,0,Sports
Player wins award for outstanding performance,0,Sports
Breaking news: Team celebrates victory in season finale,0,Sports
The football team won the championship last night,0,Sports
Update: Sports league announces rule changes for next season,0,Sports
Player sets new record in championship game,0,Sports
New stadium construction announced for local team,0,Sports
Tennis player reaches semifinals after tough match,0,Sports
Analysts say International tournament draws record viewership,0,Sports
Analysts say Tennis player reaches semifinals after tough match,0,Sports
Olympic committee announces host city for next games,0,Sports
Sources confirm Team trades star player in surprising move,0,Sports
Latest: Rivalry match ends in dramatic finish,0,Sports
Analysts say Cryptocurrency values plummet in market correction,1,Business
Stock markets plunge on fears of global recession,1,Business
Sources confirm New regulations impact financial sector operations,1,Business
New regulations impact financial sector operations,1,Business
Oil prices surge following supply disruptions,1,Business
Startup secures record funding from venture capitalists,1,Business
Just in: Central bank announces interest rate decision,1,Business
President addresses nation on foreign policy,1,Business
Breaking news: Companies announce merger to create industry giant,1,Business
Update: Startup secures record funding from venture capitalists,1,Business
Latest: Oil prices surge following supply disruptions,1,Business
Breaking news: Stock markets plunge on fears of global recession,1,Business
Update: Government announces new economic stimulus package,1,Business
Sources confirm President addresses nation on foreign policy,1,Business
Labor market shows signs of improvement with new jobs,1,Business
Banking sector implements new customer security measures,1,Business
New report: Major corporation reports quarterly earnings above expectations,1,Business
Supply chain disruptions affect global manufacturing,1,Business
Major corporation reports quarterly earnings above expectations,1,Business
Election results spark widespread protests,1,Business
Today's headlines: Trade negotiations continue between major economies,1,Business
New report: Consumer spending increases during holiday season,1,Business
Update: Investors concerned about inflation as markets fluctuate,1,Business
Analysts say Real estate market trends shifting in urban areas,1,Business
Latest: Labor market shows signs of improvement with new jobs,1,Business
Economic indicators suggest continued growth,1,Business
Sources confirm Banking sector implements new customer security measures,1,Business
Global treaty signed to reduce carbon emissions,1,Business
Companies announce merger to create industry giant,1,Business
Investors concerned about inflation as markets fluctuate,1,Business
Marine biologists track migration patterns of ocean species,2,Science
Today's headlines: Breakthrough in renewable energy storage announced,2,Science
Scientists develop new method for carbon capture,2,Science
Just in: Study reveals impacts of climate change on ecosystems,2,Science
Breaking news: Space agency successfully launches new satellite,2,Science
Researchers develop new method for clean energy generation,2,Science
New medical treatment shows promising results in trials,2,Science
Analysts say Physics experiment confirms theoretical predictions,2,Science
Update: Scientists discover new species in Amazon rainforest,2,Science
Research team publishes findings on pandemic origins,2,Science
Sources confirm Weather patterns analyzed for climate prediction models,2,Science
Conservation efforts save endangered species from extinction,2,Science
Just in: Research team makes breakthrough in quantum computing,2,Science
Scientists discover new species in Amazon rainforest,2,Science
Today's headlines: Archaeological dig uncovers ancient civilization artifacts,2,Science
Update: Researchers develop new method for clean energy generation,2,Science
New report: New species of deep-sea creatures discovered by expedition,2,Science
Breakthrough in renewable energy storage announced,2,Science
Just in: Study documents effects of habitat restoration efforts,2,Science
New report: Research team publishes findings on pandemic origins,2,Science
Physics experiment confirms theoretical predictions,2,Science
Astronomers observe distant galaxy for the first time,2,Science
Breaking news: Scientists develop new method for carbon capture,2,Science
Latest: Geology survey identifies mineral deposits in remote region,2,Science
Research team makes breakthrough in quantum computing,2,Science
Sources confirm Environmental monitoring shows pollution reduction,2,Science
Geology survey identifies mineral deposits in remote region,2,Science
Weather patterns analyzed for climate prediction models,2,Science
Electric vehicle manufacturer increases production capacity,3,Technology
New report: Software update addresses security vulnerabilities,3,Technology
Analysts say Operating system update improves device performance,3,Technology
Today's headlines: Smart home devices gain popularity among consumers,3,Technology
E-commerce platform expands delivery options,3,Technology
Update: Cloud computing service expands global data centers,3,Technology
Latest smartphone sales exceed expectations,3,Technology
Cloud computing service expands global data centers,3,Technology
Software update addresses security vulnerabilities,3,Technology
Sources confirm Cybersecurity experts warn of emerging threats,3,Technology
New report: Latest smartphone sales exceed expectations,3,Technology
Update: Social media platform introduces content safety features,3,Technology
Operating system update improves device performance,3,Technology
Gaming company releases highly anticipated title,3,Technology
Latest: Streaming service expands content library for subscribers,3,Technology
Just in: Wearable technology monitors health metrics in real-time,3,Technology
Breaking news: New smartphone features cutting-edge camera technology,3,Technology
Latest: Digital payment methods see increased adoption rates,3,Technology
Social media platform introduces content safety features,3,Technology
Cybersecurity experts warn of emerging threats,3,Technology
Breaking news: Gaming company releases highly anticipated title,3,Technology
Just in: Tech company launches revolutionary AI assistant,3,Technology
Wearable technology monitors health metrics in real-time,3,Technology
Smart home devices gain popularity among consumers,3,Technology
New report: Robotics company demonstrates new automation capabilities,3,Technology
